initial,pulse,tau,state,real,imag,probability
"|0,01>",atom_pi_1,0.2578616352201258,"|1,01>",0.0,0.0,0.0
"|0,01>",atom_pi_1,0.2578616352201258,"|1,10>",0.0,0.0,0.0
"|0,01>",atom_pi_1,0.2641509433962264,"|0,01>",0.9152831406581947,4.065328671374479e-05,0.8377432292258185
"|0,01>",atom_pi_1,0.2641509433962264,"|r,01>",-0.00028958104672688985,-0.4018098614539475,0.1614512486188231
"|0,01>",atom_pi_1,0.2641509433962264,"|1,01>",0.0,0.0,0.0
"|0,01>",atom_pi_1,0.2641509433962264,"|1,10>",0.0,0.0,0.0
"|0,01>",atom_pi_1,0.27044025157232704,"|0,01>",0.9112694400621052,4.358013707317605e-05,0.8304119942903312
"|0,01>",atom_pi_1,0.27044025157232704,"|r,01>",-0.0003029897687478505,-0.41073677313119994,0.16870478860503077
"|0,01>",atom_pi_1,0.27044025157232704,"|1,01>",0.0,0.0,0.0
"|0,01>",atom_pi_1,0.27044025157232704,"|1,10>",0.0,0.0,0.0
"|0,01>",atom_pi_1,0.27672955974842767,"|0,01>",0.9071677674701373,4.6640763615098624e-05,0.8229533605121138
"|0,01>",atom_pi_1,0.27672955974842767,"|r,01>",-0.0003166628047835598,-0.4196192002991284,0.176080373535012
"|0,01>",atom_pi_1,0.27672955974842767,"|1,01>",0.0,0.0,0.0
"|0,01>",atom_pi_1,0.27672955974842767,"|1,10>",0.0,0.0,0.0
"|0,01>",atom_pi_1,0.2830188679245283,"|0,01>",0.9029785670750891,4.983776046237374e-05,0.8153702950807835
"|0,01>",atom_pi_1,0.2830188679245283,"|r,01>",-0.00033059668274393344,-0.42845618821829157,0.18357481451671473
"|0,01>",atom_pi_1,0.2830188679245283,"|1,01>",0.0,0.0,0.0
"|0,01>",atom_pi_1,0.2830188679245283,"|1,10>",0.0,0.0,0.0
"|0,01>",atom_pi_1,0.2893081761006289,"|0,01>",0.898702292475224,5.317368709697259e-05,0.807665813327664
"|0,01>",atom_pi_1,0.2893081761006289,"|r,01>",-0.00034478786196411254,-0.4372467875566409,0.19118487210727206
"|0,01>",atom_pi_1,0.2893081761006289,"|1,01>",0.0,0.0,0.0
"|0,01>",atom_pi_1,0.2893081761006289,"|1,10>",0.0,0.0,0.0
"|0,01>",atom_pi_1,0.29559748427672955,"|0,01>",0.8943394066202952,5.665106768618174e-05,0.7998429774432851
"|0,01>",atom_pi_1,0.29559748427672955,"|r,01>",-0.0003592327339499571,-0.4459900545017164,0.1989072577626011
"|0,01>",atom_pi_1,0.29559748427672955,"|1,01>",0.0,0.0,0.0
"|0,01>",atom_pi_1,0.29559748427672955,"|1,10>",0.0,0.0,0.0
"|0,01>",atom_pi_1,0.30188679245283023,"|0,01>",0.8898903817564648,6.0272390416244196e-05,0.7919048951754277
"|0,01>",atom_pi_1,0.30188679245283023,"|r,01>",-0.0003739276231379466,-0.4546850508721305,0.20673863530845923
"|0,01>",atom_pi_1,0.30188679245283023,"|1,01>",0.0,0.0,0.0
"|0,01>",atom_pi_1,0.30188679245283023,"|1,10>",0.0,0.0,0.0
"|0,01>",atom_pi_1,0.30817610062893086,"|0,01>",0.8853556993701264,6.404010683357843e-05,0.783854718508301
"|0,01>",atom_pi_1,0.30817610062893086,"|r,01>",-0.00038886878766933867,-0.4633308442283316,0.2146756224322725
"|0,01>",atom_pi_1,0.30817610062893086,"|1,01>",0.0,0.0,0.0
"|0,01>",atom_pi_1,0.30817610062893086,"|1,10>",0.0,0.0,0.0
"|0,01>",atom_pi_1,0.3144654088050315,"|0,01>",0.8807358501306343,6.795663119371555e-05,0.7756956423234348
"|0,01>",atom_pi_1,0.3144654088050315,"|r,01>",-0.0004040524201784329,-0.4719265079826329,0.2227147921950403
